Date;Open;High;Low;Close;Adj Close;Volume
22-07-2021;145,940002;148,199997;145,809998;146,800003;145,966064;77338200
23-07-2021;147,550003;148,720001;146,919998;148,559998;147,716049;71447400
26-07-2021;148,270004;149,830002;147,699997;148,990005;148,143631;72434100
27-07-2021;149,119995;149,210007;145,550003;146,770004;145,936249;104818600
28-07-2021;144,809998;146,970001;142,539993;144,979996;144,156387;118931200
29-07-2021;144,690002;146,550003;144,580002;145,639999;144,812653;56699500
30-07-2021;144,380005;146,330002;144,110001;145,860001;145,031403;70440600
02-08-2021;146,360001;146,949997;145,25;145,520004;144,693344;62880000
03-08-2021;145,809998;148,039993;145,179993;147,360001;146,522888;64786600
04-08-2021;147,270004;147,789993;146,279999;146,949997;146,115219;56368300
05-08-2021;146,979996;147,839996;146,169998;147,059998;146,224579;46397700
06-08-2021;146,350006;147,110001;145,630005;146,139999;145,527527;54126800
09-08-2021;146,199997;146,699997;145,520004;146,089996;145,477722;48908700
10-08-2021;146,440002;147,710007;145,300003;145,600006;144,989792;69023100
11-08-2021;146,050003;146,720001;145,529999;145,860001;145,248703;48493500
12-08-2021;146,190002;149,050003;145,839996;148,889999;148,266006;72282600
13-08-2021;148,970001;149,440002;148,270004;149,100006;148,475128;59375000
16-08-2021;148,539993;151,190002;146,470001;151,119995;150,486649;103296000
17-08-2021;150,229996;151,679993;149,089996;150,190002;149,560562;92229700
18-08-2021;149,800003;150,720001;146,149994;146,360001;145,746613;86326000
19-08-2021;145,029999;148;144,5;146,699997;146,085175;86960300
20-08-2021;147,440002;148,5;146,779999;148,190002;147,568924;60549600
23-08-2021;148,309998;150,190002;147,889999;149,710007;149,082581;60131800
24-08-2021;149,449997;150,860001;149,149994;149,619995;148,992935;48606400
25-08-2021;149,809998;150,320007;147,800003;148,360001;147,73822;58991300
26-08-2021;148,350006;149,119995;147,509995;147,539993;146,921646;48597200
27-08-2021;147,479996;148,75;146,830002;148,600006;147,977219;55802400
30-08-2021;149;153,490005;148,610001;153,119995;152,478256;90956700
31-08-2021;152,660004;152,800003;151,289993;151,830002;151,19368;86453100
01-09-2021;152,830002;154,979996;152,339996;152,509995;151,870819;80313700
02-09-2021;153,869995;154,720001;152,399994;153,649994;153,006042;71115500
03-09-2021;153,759995;154,630005;153,089996;154,300003;153,65332;57808700
07-09-2021;154,970001;157,259995;154,389999;156,690002;156,033325;82278300
08-09-2021;156,979996;157,039993;153,979996;155,110001;154,459915;74420200
09-09-2021;155,490005;156,110001;153,949997;154,070007;153,424286;57305700
10-09-2021;155;155,479996;148,699997;148,970001;148,345657;140893200
13-09-2021;150,630005;151,419998;148,75;149,550003;148,923233;102404300
14-09-2021;150,350006;151,070007;146,910004;148,119995;147,499222;109296300
15-09-2021;148,559998;149,440002;146,369995;149,029999;148,405396;83281300
16-09-2021;148,440002;148,970001;147,220001;148,789993;148,166397;68034100
17-09-2021;148,820007;148,820007;145,759995;146,059998;145,447845;129868800
20-09-2021;143,800003;144,839996;141,270004;142,940002;142,340927;123478900
21-09-2021;143,929993;144,600006;142,779999;143,429993;142,828873;75834000
22-09-2021;144,449997;146,429993;143,699997;145,850006;145,238739;76404300
23-09-2021;146,649994;147,080002;145,639999;146,830002;146,21463;64838200
24-09-2021;145,660004;147,470001;145,559998;146,919998;146,304245;53477900
27-09-2021;145,470001;145,960007;143,820007;145,369995;144,760757;74150700
28-09-2021;143,25;144,75;141,690002;141,910004;141,315262;108972300
29-09-2021;142,470001;144,449997;142,029999;142,830002;142,2314;74602000
30-09-2021;143,660004;144,380005;141,279999;141,5;140,906967;89056700
01-10-2021;141,899994;142,919998;139,110001;142,649994;142,052139;94639600
04-10-2021;141,759995;142,210007;138,270004;139,139999;138,556854;98322000
05-10-2021;139,490005;142,240005;139,360001;141,110001;140,518616;80861100
06-10-2021;139,470001;142,149994;138,369995;142;141,404877;83221100
07-10-2021;143,059998;144,220001;142,720001;143,289993;142,689453;61732700
08-10-2021;144,029999;144,179993;142,559998;142,899994;142,301086;58773200
11-10-2021;142,270004;144,809998;141,809998;142,809998;142,211487;64452200
12-10-2021;143,229996;143,25;141,039993;141,509995;140,916916;73035900
13-10-2021;141,240005;141,399994;139,199997;140,910004;140,319443;78762700
14-10-2021;142,110001;143,880005;141,509995;143,759995;143,157486;69907100
15-10-2021;143,770004;144,899994;143,509995;144,839996;144,232986;67940300
18-10-2021;143,449997;146,839996;143,160004;146,550003;145,935806;85589200
19-10-2021;147,009995;149,169998;146,550003;148,759995;148,136536;76378900
20-10-2021;148,699997;149,75;148,119995;149,259995;148,634445;58418800
21-10-2021;148,809998;149,639999;147,869995;149,479996;148,853531;61421000
22-10-2021;149,690002;150,179993;148,639999;148,690002;148,066849;58883400
25-10-2021;148,679993;149,369995;147,619995;148,639999;148,017059;50720600
26-10-2021;149,330002;150,839996;149,009995;149,320007;148,694199;60893400
27-10-2021;149,360001;149,729996;148,490005;148,850006;148,226181;56094900
28-10-2021;149,820007;153,169998;149,720001;152,570007;151,930573;100077900
29-10-2021;147,220001;149,940002;146,410004;149,800003;149,17218;124953200
01-11-2021;148,990005;149,699997;147,800003;148,960007;148,335709;74588300
02-11-2021;148,660004;151,570007;148,649994;150,020004;149,391266;69122000
03-11-2021;150,389999;151,970001;149,820007;151,490005;150,855103;54511500
04-11-2021;151,580002;152,429993;150,639999;150,960007;150,327332;60394600
05-11-2021;151,889999;152,199997;150,059998;151,279999;150,865845;65463900
08-11-2021;151,410004;151,570007;150,160004;150,440002;150,028152;55020900
09-11-2021;150,199997;151,429993;150,059998;150,809998;150,397125;56787900
10-11-2021;150,020004;150,130005;147,850006;147,919998;147,515045;65187100
11-11-2021;148,960007;149,429993;147,679993;147,869995;147,465179;41000000
12-11-2021;148,429993;150,399994;147,479996;149,990005;149,579376;63804000
15-11-2021;150,369995;151,880005;149,429993;150;149,58934;59222800
16-11-2021;149,940002;151,490005;149,339996;151;150,586609;59256200
17-11-2021;151;155;150,990005;153,490005;153,069794;88807000
18-11-2021;153,710007;158,669998;153,050003;157,869995;157,43779;137827700
19-11-2021;157,649994;161,020004;156,529999;160,550003;160,110474;117305600
22-11-2021;161,679993;165,699997;161;161,020004;160,579178;117467900
23-11-2021;161,119995;161,800003;159,059998;161,410004;160,968109;96041900
24-11-2021;160,75;162,139999;159,639999;161,940002;161,496674;69463600
26-11-2021;159,570007;160,449997;156,360001;156,809998;156,380707;76959800
29-11-2021;159,369995;161,190002;158,789993;160,240005;159,801315;88748200
30-11-2021;159,990005;165,520004;159,919998;165,300003;164,847473;174048100
01-12-2021;167,479996;170,300003;164,529999;164,770004;164,318924;152052500
02-12-2021;158,740005;164,199997;157,800003;163,759995;163,311676;136739200
03-12-2021;164,020004;164,960007;159,720001;161,839996;161,396927;118023100
06-12-2021;164,289993;167,880005;164,279999;165,320007;164,867416;107497000
07-12-2021;169,080002;171,580002;168,339996;171,179993;170,711349;120405400
08-12-2021;172,130005;175,960007;170,699997;175,080002;174,600693;116998900
09-12-2021;174,910004;176,75;173,919998;174,559998;174,082108;108923700
